cho_book_1980_archer_000_0000||||||Scotland's Voice in International Affairs|||1980
cho_book_1980_blackaby_000_0000||||||The Future of Pay Bargaining|||1980
cho_book_1980_connolly_000_0000|||Thomas J. Connolly|||World Nuclear Energy Paths|||1980
cho_book_1980_connolly_000_0000|||Ulf Hansen|||World Nuclear Energy Paths|||1980
cho_book_1980_connolly_000_0000|||Wolfgang Jack|||World Nuclear Energy Paths|||1980
cho_book_1980_connolly_000_0000|||Karl-Heinz Beckurts|||World Nuclear Energy Paths|||1980
cho_book_1980_crowzon_000_0000|||Philip Crowson|||Non Fuel Minerals|||1980
cho_book_1980_freedman_000_0000|||Lawrence Freedman|||Britain and Nuclear Weapons|||1980
cho_book_1980_higgins_000_0000|||Rosalyn Higgins M.A., LL.B., J.S.D.|||United Nations Peacekeeping 1946-1967|||1980
cho_book_1980_sobeslavsky_000_0000|||V. Sobeslavsky|||The Transfer of Technology to Socialist Countries|||1980
cho_book_1980_sobeslavsky_000_0000|||P. Beazley|||The Transfer of Technology to Socialist Countries|||1980
cho_book_1980_wallace_000_0000||||||Britain in Europe|||1980
cho_book_1981_carter_000_0000||||||Industrial Policy and Innovation|||1981
cho_book_1981_dawisha_000_0000||||||Soviet-East European Dilemmas: Coercion, Competition, and Consent|||1981
cho_book_1981_fawcett_000_0000|||James Edmund Sandford Fawcett|||Law and International Resource Conflicts|||1981
cho_book_1981_fawcett_000_0000|||Audrey Parry|||Law and International Resource Conflicts|||1981
cho_book_1981_higgins_000_0000|||Rosalyn Higgins M.A., LL.B. J.S.D. Doctor H.C.|||United Nations Peacekeeping: Documents and Commentary|||1981
cho_book_1981_hodges_000_0000||||||Economic Divergence in the European Community|||1981
cho_book_1981_hu_000_0000|||Yao-su Hu|||Europe Under Stress|||1981
cho_book_1981_watt_000_0000||||||The Constitution of Northern Ireland|||1981
cho_book_1982_badger_000_0000||||||Oil Supply and Price: What Went Right in 1980?|||1982
cho_book_1982_crowson_000_0000|||Phillip Crowson|||Minerals Handbook 1982-83|||1982
cho_book_1982_dewisha_000_0000||||||The Soviet Union in the Middle East: Policies and Perspectives|||1982
cho_book_1982_dore_000_0000|||Ronald Philip Dore|||Energy Conservation in Japanese Industry|||1982
cho_book_1982_fogarty_000_0000||||||Retirement Policy: The Next Fifty Years|||1982
cho_book_1982_lucas_000_0000|||Nigel Lucas|||Energy, the United Kingdom and the European Community|||1982
cho_book_1982_matthews_000_0000||||||Slower Growth in the Western World|||1982
cho_book_1982_nossiter_000_0000|||Thomas Johnson Nossiter|||Communism in Kerala|||1982
cho_book_1982_stern_000_0000|||Jonathan P. Stern|||East European Energy and East-West Trade in Energy|||1982
cho_book_1982_summerscale_000_0000|||Peter Summerscale|||The East European Predicament|||1982
cho_book_1982_thomas_000_0000|||Richard Thomas|||India's Emergence as an Industrial Power: Middle Eastern Contracts|||1982
cho_book_1982_turner_000_0000|||Louis Turner|||The Newly Industrializing Countries: Trade and Adjustment|||1982
cho_book_1982_turner_000_0000|||Neil McMullen|||The Newly Industrializing Countries: Trade and Adjustment|||1982
cho_book_1982_turner_000_0000|||Colin I. Bradford, jr|||The Newly Industrializing Countries: Trade and Adjustment|||1982
cho_book_1982_turner_000_0000|||Lawrence G. Franko|||The Newly Industrializing Countries: Trade and Adjustment|||1982
cho_book_1982_turner_000_0000|||Laura L. Megna|||The Newly Industrializing Countries: Trade and Adjustment|||1982
cho_book_1982_turner_000_0000|||Sherry Stephenson|||The Newly Industrializing Countries: Trade and Adjustment|||1982
cho_book_1982_turner_000_0000|||Stephen Woolcock|||The Newly Industrializing Countries: Trade and Adjustment|||1982
cho_book_1982_turner_001_0000|||Louis Turner|||UK Interests and the International Energy Agency|||1982
cho_book_1983_akao_000_0000||||||Japan's Economic Security|||1983
cho_book_1983_barber_000_0000|||James Barber|||The Uneasy Relationship: Britain and South Africa|||1983
cho_book_1983_barber_000_0000|||Christopher R. Hill|||The Uneasy Relationship: Britain and South Africa|||1983
cho_book_1983_dawisha_000_0000||||||Islam in Foreign Policy|||1983
cho_book_1983_freedman_000_0000||||||The Troubled Alliance: Atlantic Relations in the 1980s|||1983
cho_book_1983_hill_000_0000||||||National Foreign Policies and European Political Cooperation|||1983
cho_book_1983_kohl_000_0000|||Wilfrid L. Kohl|||International Institutions for Energy Management: An American Perspective|||1983
cho_book_1983_leifer_000_0000|||Michael Leifer|||Indonesia's Foreign Policy|||1983
cho_book_1983_macfarquhar_000_0000|||Roderick MacFarquhar|||The Origins of the Cultural Revolution|||1983
cho_book_1983_piscatori_000_0000||||||Islam in the Political Process|||1983
cho_book_1983_segal_000_0000||||||The Soviet Union in East Asia|||1983
cho_book_1983_turner_000_0000|||Louis Turner|||Oil Companies in the International System|||1983
cho_book_1983_young_000_0000||||||National Interests and Local Government|||1983
cho_book_1984_dore_000_0000|||Ronald Philip Dore|||Land Reform in Japan|||1984
cho_book_1984_eden_000_0000|||Richard Eden|||Electricity's Contribution to UK Self-Sufficiency|||1984
cho_book_1984_eden_000_0000|||Nigel Evans|||Electricity's Contribution to UK Self-Sufficiency|||1984
cho_book_1984_hillman_000_0000|||Mayer Hillman|||Conservation's Contribution to UK Self-Sufficiency|||1984
cho_book_1984_marshall_000_0000|||Eileen Marshall|||The Economics of Energy Self-Sufficiency|||1984
cho_book_1984_marshall_000_0000|||Colin Robinson|||The Economics of Energy Self-Sufficiency|||1984
cho_book_1984_putnam_000_0000|||Robert D. Putnam|||Hanging Together|||1984
cho_book_1984_putnam_000_0000|||Nicholas Bayne|||Hanging Together|||1984
cho_book_1984_robinson_000_0000|||Colin Robinson|||Oil's Contribution to UK Self-Sufficiency|||1984
cho_book_1984_robinson_000_0000|||Eileen Marshall|||Oil's Contribution to UK Self-Sufficiency|||1984
cho_book_1984_shibusawa_000_0000|||Shibusawa Masahide|||Japan and the Asian Pacific Region|||1984
cho_book_1984_stern_000_0000|||Jonathan P. Stern|||International Gas Trade in Europe: The Policies of Exporting and Importing Countries|||1984
cho_book_1984_stern_001_0000|||Jonathan P. Stern|||Gas's Contribution to UK Self-Sufficiency|||1984
cho_book_1984_turner_000_0000|||Louis Turner|||Coal's Contribution to UK Self-Sufficiency|||1984
cho_book_1985_belgrave_000_0000||||||Energy Self-Sufficiency for the UK?|||1985
cho_book_1985_cassen_000_0000||||||Soviet Interests in the Third World|||1985
cho_book_1985_duran_000_0000||||||Latin America and the World Recession|||1985
cho_book_1985_keeble_000_0000||||||The Soviet State: The Domestic Roots of Soviet Foreign Policy|||1985
cho_book_1985_pearce_000_0000|||Joan Pearce|||Protection and Industrial Policy in Europe|||1985
