cho_book_1971_twitchett_000_0000;1;Front Matter;English
cho_book_1971_twitchett_000_0000;2;Front Matter;English
cho_book_1971_twitchett_000_0000;3;Front Matter;English
cho_book_1971_twitchett_000_0000;4;Contents;English
cho_book_1971_twitchett_000_0000;5;Abbreviations;English
cho_book_1971_twitchett_000_0000;6;Preface;English
cho_book_1971_twitchett_000_0000;7;Acknowledgements;English
cho_book_1971_twitchett_000_0000;8;1 Strategies for Security: Some Theoretical Considerations;English
cho_book_1971_twitchett_000_0000;9;2 Towards a More Dangerous World?;English
cho_book_1971_twitchett_000_0000;10;3 The Security Functions of the United Nations;English
cho_book_1971_twitchett_000_0000;11;4 Problems of Security in Europe;English
cho_book_1971_twitchett_000_0000;12;Contributors to this volume;English
cho_book_1971_twitchett_000_0000;13;Index;English
cho_book_1971_twitchett_000_0000;14;Back Matter;English
cho_book_1972_morgan_000_0000;1;Front Matter;English
cho_book_1972_morgan_000_0000;2;Front Matter;English
cho_book_1972_morgan_000_0000;3;Front Matter;English
cho_book_1972_morgan_000_0000;4;Contents;English
cho_book_1972_morgan_000_0000;5;Abbreviations;English
cho_book_1972_morgan_000_0000;6;Preface;English
cho_book_1972_morgan_000_0000;7;1 Introduction: The Nature of International Studies;English
cho_book_1972_morgan_000_0000;8;2 Human Rights in International Relations;English
cho_book_1972_morgan_000_0000;9;3 International Law and the UN System;English
cho_book_1972_morgan_000_0000;10;4 International Economic Relations I: The Need for an Interdisciplinary Approach;English
cho_book_1972_morgan_000_0000;11;5 International Economic Relations II: Business and Trade;English
cho_book_1972_morgan_000_0000;12;6 Contemporary History and the 'Survey of International Affairs';English
cho_book_1972_morgan_000_0000;13;7 Commonwealth Studies;English
cho_book_1972_morgan_000_0000;14;8 Ex Africa Semper Eadem?;English
cho_book_1972_morgan_000_0000;15;9 The Politics of Co-operation and Integration in Western Europe;English
cho_book_1972_morgan_000_0000;16;10 The Soviet Union and Eastern Europe;English
cho_book_1972_morgan_000_0000;17;11 Touching the Tiger's Buttocks - Western Scholarship and the Cold War in Asia;English
cho_book_1972_morgan_000_0000;18;12 South Asia: The Colonial Backlash;English
cho_book_1972_morgan_000_0000;19;13 The Study of International Politics;English
cho_book_1972_morgan_000_0000;20;Contributors;English
cho_book_1972_morgan_000_0000;21;Subject Index;English
cho_book_1972_morgan_000_0000;22;Index of Persons and Authors;English
cho_book_1972_morgan_000_0000;23;Back Matter;English
cho_book_1955_Ruhm_000_0000;1;Front Matter;English
cho_book_1955_Ruhm_000_0000;2;Front Matter;English
cho_book_1955_Ruhm_000_0000;3;Front Matter;English
cho_book_1955_Ruhm_000_0000;4;Preface;English
cho_book_1955_Ruhm_000_0000;5;Contents;English
cho_book_1955_Ruhm_000_0000;6;Abbreviations Used in the Text;English
cho_book_1955_Ruhm_000_0000;7;Note on Translation;English
cho_book_1955_Ruhm_000_0000;8;Table of Documents;English
cho_book_1955_Ruhm_000_0000;9;The 'Unconditional Surrender' Meeting: A Report of the Press Conference given by Churchill and Roosevelt at Casablanca;English
cho_book_1955_Ruhm_000_0000;10;Declaration on Atrocities Issued after the Moscow Conference of the Foreign Ministers of the United Kingdom, the United States, and the Soviet Union, 18-30 October 1943;English
cho_book_1955_Ruhm_000_0000;11;Extracts from the Communiqué Issued after the Moscow Tripartite Conference;English
cho_book_1955_Ruhm_000_0000;12;Statement by Churchill on the Principle of Unconditional Surrender;English
cho_book_1955_Ruhm_000_0000;13;Report of the Crimea (Yalta) Conference, 4-11 February 1945;English
cho_book_1955_Ruhm_000_0000;13;Report of the Crimea (Yalta) Conference, 4-11 February 1945;English
cho_book_1955_Ruhm_000_0000;13;Report of the Crimea (Yalta) Conference, 4-11 February 1945;English
cho_book_1955_Ruhm_000_0000;14;Extracts from the Protocol of the Proceedings of the Crimea (Yalta) Conference;English
cho_book_1955_Ruhm_000_0000;15;Military Government, Germany, Supreme Commander's Area of Control: Law No. I, on the Abrogation of Nazi Law;English
cho_book_1955_Ruhm_000_0000;16;Military Government, Germany, Supreme Commander's Area of Control: Ordinance No. 2, on Military Government Courts;English
cho_book_1955_Ruhm_000_0000;17;Directive of the United States Joint Chiefs of Staff to the Commander-in-Chief of the United States Forces of Occupation regarding the Military Government of Germany (JCS 1067);English
cho_book_1955_Ruhm_000_0000;18;Extract from Order No. I of the Chief of Occupation Troops and City Commandant of Berlin, Colonel-General Bersarin;English
cho_book_1955_Ruhm_000_0000;19;Act of Military Surrender, Signed at Berlin;English
cho_book_1955_Ruhm_000_0000;20;Declaration regarding the Defeat of Germany and the Assumption of Supreme Authority with respect to Germany by the Governments of the United Kingdom, the United States, the USSR, and the Provisional Government of the French Republic;English
cho_book_1955_Ruhm_000_0000;21;Statement by the Governments of the United Kingdom, the United States, the USSR, and the Provisional Government of the French Republic on Zones of Occupation in Germany;English
cho_book_1955_Ruhm_000_0000;22;Statement by the Governments of the United Kingdom, the United States, the USSR, and the Provisional Government of the French Republic on Control Machinery in Germany;English
cho_book_1955_Ruhm_000_0000;23;Soviet Military Administration Order No. 1: The Organization of the Military Administration for the Administration of the Soviet Zone;English
cho_book_1955_Ruhm_000_0000;24;Soviet Military Administration Order No. 2: Establishment of Anti-Fascist Parties and Free Trade Unions in the Soviet Zone;English
cho_book_1955_Ruhm_000_0000;24;Soviet Military Administration Order No. 2: Establishment of Anti-Fascist Parties and Free Trade Unions in the Soviet Zone;English
cho_book_1955_Ruhm_000_0000;25;Allied Agreement on the Quadripartite Administration of Berlin;English
cho_book_1955_Ruhm_000_0000;25;Allied Agreement on the Quadripartite Administration of Berlin;English
cho_book_1955_Ruhm_000_0000;25;Allied Agreement on the Quadripartite Administration of Berlin;English
cho_book_1955_Ruhm_000_0000;26;Kommandatura Order No. I: Confirmation of Previous Soviet Action in Berlin;English
cho_book_1955_Ruhm_000_0000;27;Extracts from a Joint Declaration by Representatives of the Social Democratic and Communist Parties, the Chritstian Democratic Union, and the Liberal Democratic Party of the Soviet Zone at a Meeting in Berlin;English
cho_book_1955_Ruhm_000_0000;28;Extracts from the Report on the Tripartite Conference of Berlin (Potsdam), 17 July - 2 August 1945;English
cho_book_1955_Ruhm_000_0000;29;Agreement by the Governments of the United Kingdom, the United States, the Provisional Government of the French Republic, and the USSR for the Prosecution and Punishment of the Major War Criminals of the European Axis, and Charter of the International Military Tribunal;English
cho_book_1955_Ruhm_000_0000;30;Control Council Proclamation No. I: Establishment of the Control Council;English
cho_book_1955_Ruhm_000_0000;31;Decree on Land Reform in Land Saxony;English
cho_book_1955_Ruhm_000_0000;32;Announcement by the Soviet Military Administration on the Establishment of German Administrations in the Soviet Zone;English
cho_book_1955_Ruhm_000_0000;33;French Memorandum Submitted to the London Session of the Council of Foreign Ministers, 11 September - 2 October 1945: Reservations regarding the Principles to Govern the Treatment of Germany in the Initial Control Period, and regarding German Frontiers;English
cho_book_1955_Ruhm_000_0000;34;Control Council Proclamation No. 2: Certain Additional Requirements Imposed on Germany;English
cho_book_1955_Ruhm_000_0000;35;Control Council Law No. 2, Providing for the Termination and Liquidation of the Nazi Organizations;English
cho_book_1955_Ruhm_000_0000;36;Control Council Proclamation No. 3: Fundamental Principles of Judicial Reform;English
cho_book_1955_Ruhm_000_0000;37;Order by Zhukov Granting the Provincial and Länder Administrations in the Russian Zone the Right to Issue Laws and Decrees Having Legal Force;English
cho_book_1955_Ruhm_000_0000;38;Control Council Law No. 4: Reorganization of the German Judicial System;English
cho_book_1955_Ruhm_000_0000;39;Extract from Control Council Law No. 5: Vesting and Marshalling of German External Assets;English
cho_book_1955_Ruhm_000_0000;40;Soviet Military Administration Order No. 124: On the Confiscation and Provisional Sequestration of Certain Categories of Property;English
cho_book_1955_Ruhm_000_0000;41;Control Council Directive No. 16: Arming of the German Police;English
cho_book_1955_Ruhm_000_0000;42;Control Council Plans for the Transfer of the German Population to Be Moved from Austria, Czechoslovakia, Hungary, and Poland into the Four Occupied Zones of Germany;English
cho_book_1955_Ruhm_000_0000;43;Control Council Law No. 8: Elimination and Prohibition of Military Training;English
cho_book_1955_Ruhm_000_0000;44;Control Council Law No. 9: Providing for the Seizure of Property Owned by I. G. Farbenindustrie and the Control Thereof;English
cho_book_1955_Ruhm_000_0000;45;Extracts from Statement by the United States Department of State on the Reparations Settlement and Peace-Time Economy of Germany;English
cho_book_1955_Ruhm_000_0000;46;Control Council Law No. 10: Punishment of Persons Guilty of War Crimes, Crimes against Peace and against Humanity;English
cho_book_1955_Ruhm_000_0000;47;Extracts from Control Council Directive No. 24: Removal from Office and from Positions of Responsibility of Nazis and of Persons Hostile to Allied Purposes;English
cho_book_1955_Ruhm_000_0000;48;Agreement between British and Polish Representatives, Combined Repatriation Executive, on the Transfer of German Population from Poland;English
cho_book_1955_Ruhm_000_0000;48;Agreement between British and Polish Representatives, Combined Repatriation Executive, on the Transfer of German Population from Poland;English
cho_book_1955_Ruhm_000_0000;49;Letter from the Minister of Foreign Affairs of the Provisional Government of the French Republic to the United States Ambassador in Paris Relating to the Creation of German Central Administrations;English
